ticket_id,customer_email,ticket_status,priority,csat_score,opened_date,channel,agent_team,resolution_hours,first_response_hours,escalation_count
T00024-2, CUSTOMER0024@DEMO-ML.EXAMPLE , resolved , low ,4.8,2026-02-20,phone,billing,29.0,9.0,2
T00026-1,customer0026@demo-ml.example, closed , low ,2.7,2026-02-23,web,success,23.5,8.25,0
T00026-1,customer0026@demo-ml.example, closed , low ,2.7,2026-02-23,web,success,23.5,8.25,0
T00027-1,customer0027@demo-ml.example, open , medium ,3.4,2026-02-25,email,billing,24.0,8.5,1
T00027-2, CUSTOMER0027@DEMO-ML.EXAMPLE , pending , critical ,4.5,2026-02-26,chat,success,30.5,0.75,2
T00028-1,customer0028@demo-ml.example, pending , high ,4.1,2026-02-27,chat,security,24.5,8.75,2
T00028-3,customer0028@demo-ml.example, closed , high ,3.9,2026-03-01,web,success,37.5,2.25,1
T00029-1,customer0029@demo-ml.example, resolved , critical ,4.8,2026-03-01,phone,platform,25.0,9.0,0
T00031-1,customer0031@demo-ml.example, open , medium ,3.8,2026-03-05,email,billing,26.0,0.5,2
T00032-1,customer0032@demo-ml.example, pending , high ,,2026-03-07,chat,security,26.5,0.75,0
T00033-1,customer0033@demo-ml.example, resolved , critical ,2.8,2026-03-09,phone,platform,27.0,1.0,1
T00033-2, CUSTOMER0033@DEMO-ML.EXAMPLE , closed , medium ,3.9,2026-03-10,web,security,33.5,2.25,2
T00034-1,customer0034@demo-ml.example, closed ,,3.5,2026-03-11,web,success,27.5,1.25,2
T00036-1,customer0036@demo-ml.example, pending , high ,4.9,2026-03-15,chat,security,28.5,1.75,1
T00036-2, CUSTOMER0036@DEMO-ML.EXAMPLE , resolved , low ,3.6,2026-03-16,phone,billing,35.0,3.0,2
T00037-1,customer0037@demo-ml.example, resolved , critical ,3.2,2026-03-17,phone,platform,29.0,2.0,2
T00038-1,customer0038@demo-ml.example,, low ,3.9,2026-03-19,web,success,29.5,2.25,0
T00039-1,customer0039@demo-ml.example, open , medium ,4.6,2026-03-21,email,billing,30.0,2.5,1
T00039-1,customer0039@demo-ml.example, open , medium ,4.6,2026-03-21,email,billing,30.0,2.5,1
T00039-2, CUSTOMER0039@DEMO-ML.EXAMPLE , pending , critical ,3.3,2026-03-22,chat,success,36.5,3.75,2
T00041-1,customer0041@demo-ml.example, resolved , critical ,3.6,2026-03-25,phone,platform,31.0,3.0,0
T00042-1,customer0042@demo-ml.example, closed , low ,4.3,2026-03-27,web,success,31.5,3.25,1
T00042-2, CUSTOMER0042@DEMO-ML.EXAMPLE , open , high ,3.0,2026-03-28,email,platform,38.0,4.5,2
T00042-3,customer0042@demo-ml.example, pending , low ,4.1,2026-03-29,chat,security,44.5,5.75,0
T00043-1,customer0043@demo-ml.example, open , medium ,2.6,2026-03-29,email,billing,32.0,3.5,2
T00044-1,customer0044@demo-ml.example, pending , high ,3.3,2026-03-31,chat,security,32.5,3.75,0
T00046-1,customer0046@demo-ml.example, closed , low ,4.7,2026-01-04,web,success,33.5,4.25,2
T00047-1,customer0047@demo-ml.example, open , medium ,3.0,2026-01-06,email,billing,34.0,4.5,0
T00048-1,customer0048@demo-ml.example, pending , high ,,2026-01-08,chat,security,34.5,4.75,1
T00048-2, CUSTOMER0048@DEMO-ML.EXAMPLE , resolved , low ,4.8,2026-01-09,phone,billing,41.0,6.0,2
T00049-1,customer0049@demo-ml.example, resolved , critical ,4.4,2026-01-10,phone,platform,35.0,5.0,2
T00049-3,customer0049@demo-ml.example, open , critical ,4.2,2026-01-12,email,billing,48.0,7.5,1
T00051-1,customer0051@demo-ml.example, open ,,3.4,2026-01-14,email,billing,36.0,5.5,1
T00051-2, CUSTOMER0051@DEMO-ML.EXAMPLE , pending , critical ,4.5,2026-01-15,chat,success,42.5,6.75,2
T00052-1,customer0052@demo-ml.example, pending , high ,4.1,2026-01-16,chat,security,36.5,5.75,2
T00052-1,customer0052@demo-ml.example, pending , high ,4.1,2026-01-16,chat,security,36.5,5.75,2
T00053-1,customer0053@demo-ml.example, resolved , critical ,4.8,2026-01-18,phone,platform,37.0,6.0,0
T00054-1,customer0054@demo-ml.example, closed , low ,3.1,2026-01-20,web,success,37.5,6.25,1
T00054-2, CUSTOMER0054@DEMO-ML.EXAMPLE , open , high ,4.2,2026-01-21,email,platform,44.0,7.5,2
T00056-1,customer0056@demo-ml.example, pending , high ,,2026-01-24,chat,security,38.5,6.75,0
T00056-3,customer0056@demo-ml.example, closed , high ,4.3,2026-01-26,web,success,51.5,9.25,2
T00057-1,customer0057@demo-ml.example,, critical ,2.8,2026-01-26,phone,platform,39.0,7.0,1
T00057-2, CUSTOMER0057@DEMO-ML.EXAMPLE , closed , medium ,3.9,2026-01-27,web,security,45.5,8.25,2
T00058-1,customer0058@demo-ml.example, closed , low ,3.5,2026-01-28,web,success,39.5,7.25,2
T00059-1,customer0059@demo-ml.example, open , medium ,4.2,2026-01-30,email,billing,40.0,7.5,0
T00061-1,customer0061@demo-ml.example, resolved , critical ,3.2,2026-02-03,phone,platform,41.0,8.0,2
T00062-1,customer0062@demo-ml.example, closed , low ,3.9,2026-02-05,web,success,41.5,8.25,0
T00063-1,customer0063@demo-ml.example, open , medium ,4.6,2026-02-07,email,billing,42.0,8.5,1
T00063-2, CUSTOMER0063@DEMO-ML.EXAMPLE , pending , critical ,3.3,2026-02-08,chat,success,48.5,0.75,2
T00063-3,customer0063@demo-ml.example, resolved , medium ,4.4,2026-02-09,phone,platform,7.0,2.0,0
T00064-1,customer0064@demo-ml.example, pending , high ,,2026-02-09,chat,security,42.5,8.75,2
T00066-1,customer0066@demo-ml.example, closed , low ,4.3,2026-02-13,web,success,43.5,9.25,1
T00066-2, CUSTOMER0066@DEMO-ML.EXAMPLE , open , high ,3.0,2026-02-14,email,platform,50.0,1.5,2
T00067-1,customer0067@demo-ml.example, open , medium ,2.6,2026-02-15,email,billing,44.0,0.5,2
T00068-1,customer0068@demo-ml.example, pending ,,3.3,2026-02-17,chat,security,44.5,0.75,0
T00069-1,customer0069@demo-ml.example, resolved , critical ,4.0,2026-02-19,phone,platform,45.0,1.0,1
T00069-2, CUSTOMER0069@DEMO-ML.EXAMPLE , closed , medium ,2.7,2026-02-20,web,security,51.5,2.25,2
T00071-1,customer0071@demo-ml.example, open , medium ,3.0,2026-02-23,email,billing,46.0,1.5,0
T00072-1,customer0072@demo-ml.example, pending , high ,,2026-02-25,chat,security,46.5,1.75,1
T00072-2, CUSTOMER0072@DEMO-ML.EXAMPLE , resolved , low ,4.8,2026-02-26,phone,billing,5.0,3.0,2
T00073-1,customer0073@demo-ml.example, resolved , critical ,4.4,2026-02-27,phone,platform,47.0,2.0,2
T00074-1,customer0074@demo-ml.example, closed , low ,2.7,2026-03-01,web,success,47.5,2.25,0
T00076-1,customer0076@demo-ml.example,, high ,4.1,2026-03-05,chat,security,48.5,2.75,2
T00077-1,customer0077@demo-ml.example, resolved , critical ,4.8,2026-03-07,phone,platform,49.0,3.0,0
T00077-3,customer0077@demo-ml.example, open , critical ,4.6,2026-03-09,email,billing,14.0,5.5,2
T00078-1,customer0078@demo-ml.example, closed , low ,3.1,2026-03-09,web,success,49.5,3.25,1
T00078-1,customer0078@demo-ml.example, closed , low ,3.1,2026-03-09,web,success,49.5,3.25,1
T00078-2, CUSTOMER0078@DEMO-ML.EXAMPLE , open , high ,4.2,2026-03-10,email,platform,8.0,4.5,2
T00079-1,customer0079@demo-ml.example, open , medium ,3.8,2026-03-11,email,billing,50.0,3.5,2
T00081-1,customer0081@demo-ml.example, resolved , critical ,2.8,2026-03-15,phone,platform,51.0,4.0,1
T00081-2, CUSTOMER0081@DEMO-ML.EXAMPLE , closed , medium ,3.9,2026-03-16,web,security,9.5,5.25,2
T00082-1,customer0082@demo-ml.example, closed , low ,3.5,2026-03-17,web,success,51.5,4.25,2
T00083-1,customer0083@demo-ml.example, open , medium ,4.2,2026-03-19,email,billing,4.0,4.5,0
T00084-1,customer0084@demo-ml.example, pending , high ,4.9,2026-03-21,chat,security,4.5,4.75,1
T00084-2, CUSTOMER0084@DEMO-ML.EXAMPLE , resolved , low ,3.6,2026-03-22,phone,billing,11.0,6.0,2
T00084-3,customer0084@demo-ml.example, closed , high ,4.7,2026-03-23,web,success,17.5,7.25,0
T00086-1,customer0086@demo-ml.example, closed , low ,3.9,2026-03-25,web,success,5.5,5.25,0
T00087-1,customer0087@demo-ml.example, open , medium ,4.6,2026-03-27,email,billing,6.0,5.5,1
T00087-2, CUSTOMER0087@DEMO-ML.EXAMPLE , pending , critical ,3.3,2026-03-28,chat,success,12.5,6.75,2
T00088-1,customer0088@demo-ml.example, pending , high ,,2026-03-29,chat,security,6.5,5.75,2
T00089-1,customer0089@demo-ml.example, resolved , critical ,3.6,2026-03-31,phone,platform,7.0,6.0,0
T00091-1,customer0091@demo-ml.example, open , medium ,2.6,2026-01-04,email,billing,8.0,6.5,2
T00091-1,customer0091@demo-ml.example, open , medium ,2.6,2026-01-04,email,billing,8.0,6.5,2
T00091-3,customer0091@demo-ml.example, resolved , medium ,4.8,2026-01-06,phone,platform,21.0,9.0,1
T00092-1,customer0092@demo-ml.example, pending , high ,3.3,2026-01-06,chat,security,8.5,6.75,0
T00093-1,customer0093@demo-ml.example, resolved , critical ,4.0,2026-01-08,phone,platform,9.0,7.0,1
T00093-2, CUSTOMER0093@DEMO-ML.EXAMPLE , closed , medium ,2.7,2026-01-09,web,security,15.5,8.25,2
T00094-1,customer0094@demo-ml.example, closed , low ,4.7,2026-01-10,web,success,9.5,7.25,2
T00096-1,customer0096@demo-ml.example, pending , high ,,2026-01-14,chat,security,10.5,7.75,1
T00096-2, CUSTOMER0096@DEMO-ML.EXAMPLE , resolved , low ,4.8,2026-01-15,phone,billing,17.0,9.0,2
T00097-1,customer0097@demo-ml.example, resolved , critical ,4.4,2026-01-16,phone,platform,11.0,8.0,2
T00098-1,customer0098@demo-ml.example, closed , low ,2.7,2026-01-18,web,success,11.5,8.25,0
T00098-3,customer0098@demo-ml.example, pending , low ,4.9,2026-01-20,chat,security,24.5,1.75,2
T00099-1,customer0099@demo-ml.example, open , medium ,3.4,2026-01-20,email,billing,12.0,8.5,1
T00099-2, CUSTOMER0099@DEMO-ML.EXAMPLE , pending , critical ,4.5,2026-01-21,chat,success,18.5,0.75,2
T00101-1,customer0101@demo-ml.example, resolved , critical ,4.8,2026-01-24,phone,platform,13.0,9.0,0
T00102-1,customer0102@demo-ml.example, closed ,,3.1,2026-01-26,web,success,13.5,9.25,1
T00102-2, CUSTOMER0102@DEMO-ML.EXAMPLE , open , high ,4.2,2026-01-27,email,platform,20.0,1.5,2
T00103-1,customer0103@demo-ml.example, open , medium ,3.8,2026-01-28,email,billing,14.0,0.5,2
T00104-1,customer0104@demo-ml.example, pending , high ,,2026-01-30,chat,security,14.5,0.75,0
T00104-1,customer0104@demo-ml.example, pending , high ,,2026-01-30,chat,security,14.5,0.75,0
T00106-1,customer0106@demo-ml.example, closed , low ,3.5,2026-02-03,web,success,15.5,1.25,2
T00107-1,customer0107@demo-ml.example, open , medium ,4.2,2026-02-05,email,billing,16.0,1.5,0
T00108-1,customer0108@demo-ml.example, pending , high ,4.9,2026-02-07,chat,security,16.5,1.75,1
T00108-2, CUSTOMER0108@DEMO-ML.EXAMPLE , resolved , low ,3.6,2026-02-08,phone,billing,23.0,3.0,2
T00109-1,customer0109@demo-ml.example, resolved , critical ,3.2,2026-02-09,phone,platform,17.0,2.0,2
T00111-1,customer0111@demo-ml.example, open , medium ,4.6,2026-02-13,email,billing,18.0,2.5,1
T00111-2, CUSTOMER0111@DEMO-ML.EXAMPLE , pending , critical ,3.3,2026-02-14,chat,success,24.5,3.75,2
T00112-1,customer0112@demo-ml.example, pending , high ,,2026-02-15,chat,security,18.5,2.75,2
T00112-3,customer0112@demo-ml.example, closed , high ,2.7,2026-02-17,web,success,31.5,5.25,1
T00113-1,customer0113@demo-ml.example, resolved , critical ,3.6,2026-02-17,phone,platform,19.0,3.0,0
T00114-1,customer0114@demo-ml.example,, low ,4.3,2026-02-19,web,success,19.5,3.25,1
T00114-2, CUSTOMER0114@DEMO-ML.EXAMPLE , open , high ,3.0,2026-02-20,email,platform,26.0,4.5,2
T00116-1,customer0116@demo-ml.example, pending , high ,3.3,2026-02-23,chat,security,20.5,3.75,0
T00117-1,customer0117@demo-ml.example, resolved , critical ,4.0,2026-02-25,phone,platform,21.0,4.0,1
T00117-1,customer0117@demo-ml.example, resolved , critical ,4.0,2026-02-25,phone,platform,21.0,4.0,1
T00117-2, CUSTOMER0117@DEMO-ML.EXAMPLE , closed , medium ,2.7,2026-02-26,web,security,27.5,5.25,2
T00118-1,customer0118@demo-ml.example, closed , low ,4.7,2026-02-27,web,success,21.5,4.25,2
T00119-1,customer0119@demo-ml.example, open ,,3.0,2026-03-01,email,billing,22.0,4.5,0
T00119-3,customer0119@demo-ml.example, resolved , medium ,2.8,2026-03-03,phone,platform,35.0,7.0,2
T00121-1,customer0121@demo-ml.example, resolved , critical ,4.4,2026-03-05,phone,platform,23.0,5.0,2
T00122-1,customer0122@demo-ml.example, closed , low ,2.7,2026-03-07,web,success,23.5,5.25,0
T00123-1,customer0123@demo-ml.example, open , medium ,3.4,2026-03-09,email,billing,24.0,5.5,1
T00123-2, CUSTOMER0123@DEMO-ML.EXAMPLE , pending , critical ,4.5,2026-03-10,chat,success,30.5,6.75,2
T00124-1,customer0124@demo-ml.example, pending , high ,4.1,2026-03-11,chat,security,24.5,5.75,2
T00126-1,customer0126@demo-ml.example, closed , low ,3.1,2026-03-15,web,success,25.5,6.25,1
T00126-2, CUSTOMER0126@DEMO-ML.EXAMPLE , open , high ,4.2,2026-03-16,email,platform,32.0,7.5,2
T00126-3,customer0126@demo-ml.example, pending , low ,2.9,2026-03-17,chat,security,38.5,8.75,0
T00127-1,customer0127@demo-ml.example, open , medium ,3.8,2026-03-17,email,billing,26.0,6.5,2
T00128-1,customer0128@demo-ml.example, pending , high ,,2026-03-19,chat,security,26.5,6.75,0
T00129-1,customer0129@demo-ml.example, resolved , critical ,2.8,2026-03-21,phone,platform,27.0,7.0,1
T00129-2, CUSTOMER0129@DEMO-ML.EXAMPLE , closed , medium ,3.9,2026-03-22,web,security,33.5,8.25,2
T00131-1,customer0131@demo-ml.example, open , medium ,4.2,2026-03-25,email,billing,28.0,7.5,0
T00132-1,customer0132@demo-ml.example, pending , high ,4.9,2026-03-27,chat,security,28.5,7.75,1
T00132-2, CUSTOMER0132@DEMO-ML.EXAMPLE , resolved , low ,3.6,2026-03-28,phone,billing,35.0,9.0,2
T00133-1,customer0133@demo-ml.example,, critical ,3.2,2026-03-29,phone,platform,29.0,8.0,2
T00133-3,customer0133@demo-ml.example, open , critical ,3.0,2026-03-31,email,billing,42.0,1.5,1
T00134-1,customer0134@demo-ml.example, closed , low ,3.9,2026-03-31,web,success,29.5,8.25,0
T00136-1,customer0136@demo-ml.example, pending ,,,2026-01-04,chat,security,30.5,8.75,2
T00137-1,customer0137@demo-ml.example, resolved , critical ,3.6,2026-01-06,phone,platform,31.0,9.0,0
T00138-1,customer0138@demo-ml.example, closed , low ,4.3,2026-01-08,web,success,31.5,9.25,1
T00138-2, CUSTOMER0138@DEMO-ML.EXAMPLE , open , high ,3.0,2026-01-09,email,platform,38.0,1.5,2
T00139-1,customer0139@demo-ml.example, open , medium ,2.6,2026-01-10,email,billing,32.0,0.5,2
T00141-1,customer0141@demo-ml.example, resolved , critical ,4.0,2026-01-14,phone,platform,33.0,1.0,1
T00141-2, CUSTOMER0141@DEMO-ML.EXAMPLE , closed , medium ,2.7,2026-01-15,web,security,39.5,2.25,2
T00142-1,customer0142@demo-ml.example, closed , low ,4.7,2026-01-16,web,success,33.5,1.25,2
T00143-1,customer0143@demo-ml.example, open , medium ,3.0,2026-01-18,email,billing,34.0,1.5,0
T00143-1,customer0143@demo-ml.example, open , medium ,3.0,2026-01-18,email,billing,34.0,1.5,0
T00144-1,customer0144@demo-ml.example, pending , high ,,2026-01-20,chat,security,34.5,1.75,1
T00144-2, CUSTOMER0144@DEMO-ML.EXAMPLE , resolved , low ,4.8,2026-01-21,phone,billing,41.0,3.0,2
T00146-1,customer0146@demo-ml.example, closed , low ,2.7,2026-01-24,web,success,35.5,2.25,0
T00147-1,customer0147@demo-ml.example, open , medium ,3.4,2026-01-26,email,billing,36.0,2.5,1
T00147-2, CUSTOMER0147@DEMO-ML.EXAMPLE , pending , critical ,4.5,2026-01-27,chat,success,42.5,3.75,2
T00147-3,customer0147@demo-ml.example, resolved , medium ,3.2,2026-01-28,phone,platform,49.0,5.0,0
T00148-1,customer0148@demo-ml.example, pending , high ,4.1,2026-01-28,chat,security,36.5,2.75,2
T00149-1,customer0149@demo-ml.example, resolved , critical ,4.8,2026-01-30,phone,platform,37.0,3.0,0
T00151-1,customer0151@demo-ml.example, open , medium ,3.8,2026-02-03,email,billing,38.0,3.5,2
T00152-1,customer0152@demo-ml.example,, high ,,2026-02-05,chat,security,38.5,3.75,0
T00153-1,customer0153@demo-ml.example, resolved ,,2.8,2026-02-07,phone,platform,39.0,4.0,1
T00153-2, CUSTOMER0153@DEMO-ML.EXAMPLE , closed , medium ,3.9,2026-02-08,web,security,45.5,5.25,2
T00154-1,customer0154@demo-ml.example, closed , low ,3.5,2026-02-09,web,success,39.5,4.25,2
T00154-3,customer0154@demo-ml.example, pending , low ,3.3,2026-02-11,chat,security,4.5,6.75,1
T00156-1,customer0156@demo-ml.example, pending , high ,4.9,2026-02-13,chat,security,40.5,4.75,1
T00156-1,customer0156@demo-ml.example, pending , high ,4.9,2026-02-13,chat,security,40.5,4.75,1
T00156-2, CUSTOMER0156@DEMO-ML.EXAMPLE , resolved , low ,3.6,2026-02-14,phone,billing,47.0,6.0,2
T00157-1,customer0157@demo-ml.example, resolved , critical ,3.2,2026-02-15,phone,platform,41.0,5.0,2
T00158-1,customer0158@demo-ml.example, closed , low ,3.9,2026-02-17,web,success,41.5,5.25,0
T00159-1,customer0159@demo-ml.example, open , medium ,4.6,2026-02-19,email,billing,42.0,5.5,1
T00159-2, CUSTOMER0159@DEMO-ML.EXAMPLE , pending , critical ,3.3,2026-02-20,chat,success,48.5,6.75,2
T00161-1,customer0161@demo-ml.example, resolved , critical ,3.6,2026-02-23,phone,platform,43.0,6.0,0
T00161-3,customer0161@demo-ml.example, open , critical ,3.4,2026-02-25,email,billing,8.0,8.5,2
T00162-1,customer0162@demo-ml.example, closed , low ,4.3,2026-02-25,web,success,43.5,6.25,1
T00162-2, CUSTOMER0162@DEMO-ML.EXAMPLE , open , high ,3.0,2026-02-26,email,platform,50.0,7.5,2
T00163-1,customer0163@demo-ml.example, open , medium ,2.6,2026-02-27,email,billing,44.0,6.5,2
T00164-1,customer0164@demo-ml.example, pending , high ,3.3,2026-03-01,chat,security,44.5,6.75,0
T00166-1,customer0166@demo-ml.example, closed , low ,4.7,2026-03-05,web,success,45.5,7.25,2
T00167-1,customer0167@demo-ml.example, open , medium ,3.0,2026-03-07,email,billing,46.0,7.5,0
T00168-1,customer0168@demo-ml.example, pending , high ,,2026-03-09,chat,security,46.5,7.75,1
T00168-2, CUSTOMER0168@DEMO-ML.EXAMPLE , resolved , low ,4.8,2026-03-10,phone,billing,5.0,9.0,2
T00168-3,customer0168@demo-ml.example, closed , high ,3.5,2026-03-11,web,success,11.5,1.25,0
T00169-1,customer0169@demo-ml.example, resolved , critical ,4.4,2026-03-11,phone,platform,47.0,8.0,2
T00169-1,customer0169@demo-ml.example, resolved , critical ,4.4,2026-03-11,phone,platform,47.0,8.0,2
T00171-1,customer0171@demo-ml.example,, medium ,3.4,2026-03-15,email,billing,48.0,8.5,1
T00171-2, CUSTOMER0171@DEMO-ML.EXAMPLE , pending , critical ,4.5,2026-03-16,chat,success,6.5,0.75,2
T00172-1,customer0172@demo-ml.example, pending , high ,4.1,2026-03-17,chat,security,48.5,8.75,2
T00173-1,customer0173@demo-ml.example, resolved , critical ,4.8,2026-03-19,phone,platform,49.0,9.0,0
T00174-1,customer0174@demo-ml.example, closed , low ,3.1,2026-03-21,web,success,49.5,9.25,1
T00174-2, CUSTOMER0174@DEMO-ML.EXAMPLE , open , high ,4.2,2026-03-22,email,platform,8.0,1.5,2
T00176-1,customer0176@demo-ml.example, pending , high ,,2026-03-25,chat,security,50.5,0.75,0
T00177-1,customer0177@demo-ml.example, resolved , critical ,2.8,2026-03-27,phone,platform,51.0,1.0,1
T00177-2, CUSTOMER0177@DEMO-ML.EXAMPLE , closed , medium ,3.9,2026-03-28,web,security,9.5,2.25,2
T00178-1,customer0178@demo-ml.example, closed , low ,3.5,2026-03-29,web,success,51.5,1.25,2
T00179-1,customer0179@demo-ml.example, open , medium ,4.2,2026-03-31,email,billing,4.0,1.5,0
T00181-1,customer0181@demo-ml.example, resolved , critical ,3.2,2026-01-04,phone,platform,5.0,2.0,2
T00182-1,customer0182@demo-ml.example, closed , low ,3.9,2026-01-06,web,success,5.5,2.25,0
T00182-1,customer0182@demo-ml.example, closed , low ,3.9,2026-01-06,web,success,5.5,2.25,0
T00182-3,customer0182@demo-ml.example, pending , low ,3.7,2026-01-08,chat,security,18.5,4.75,2
T00183-1,customer0183@demo-ml.example, open , medium ,4.6,2026-01-08,email,billing,6.0,2.5,1
T00183-2, CUSTOMER0183@DEMO-ML.EXAMPLE , pending , critical ,3.3,2026-01-09,chat,success,12.5,3.75,2
T00184-1,customer0184@demo-ml.example, pending , high ,,2026-01-10,chat,security,6.5,2.75,2
T00186-1,customer0186@demo-ml.example, closed , low ,4.3,2026-01-14,web,success,7.5,3.25,1
T00186-2, CUSTOMER0186@DEMO-ML.EXAMPLE , open , high ,3.0,2026-01-15,email,platform,14.0,4.5,2
T00187-1,customer0187@demo-ml.example, open ,,2.6,2026-01-16,email,billing,8.0,3.5,2
T00188-1,customer0188@demo-ml.example, pending , high ,3.3,2026-01-18,chat,security,8.5,3.75,0
T00189-1,customer0189@demo-ml.example, resolved , critical ,4.0,2026-01-20,phone,platform,9.0,4.0,1
T00189-2, CUSTOMER0189@DEMO-ML.EXAMPLE , closed , medium ,2.7,2026-01-21,web,security,15.5,5.25,2
T00189-3,customer0189@demo-ml.example, open , critical ,3.8,2026-01-22,email,billing,22.0,6.5,0
T00191-1,customer0191@demo-ml.example, open , medium ,3.0,2026-01-24,email,billing,10.0,4.5,0
T00192-1,customer0192@demo-ml.example, pending , high ,,2026-01-26,chat,security,10.5,4.75,1
T00192-2, CUSTOMER0192@DEMO-ML.EXAMPLE , resolved , low ,4.8,2026-01-27,phone,billing,17.0,6.0,2
T00193-1,customer0193@demo-ml.example, resolved , critical ,4.4,2026-01-28,phone,platform,11.0,5.0,2
T00194-1,customer0194@demo-ml.example, closed , low ,2.7,2026-01-30,web,success,11.5,5.25,0
T00196-1,customer0196@demo-ml.example, pending , high ,4.1,2026-02-03,chat,security,12.5,5.75,2
T00196-3,customer0196@demo-ml.example, closed , high ,3.9,2026-02-05,web,success,25.5,8.25,1
T00197-1,customer0197@demo-ml.example, resolved , critical ,4.8,2026-02-05,phone,platform,13.0,6.0,0
T00198-1,customer0198@demo-ml.example, closed , low ,3.1,2026-02-07,web,success,13.5,6.25,1
T00198-2, CUSTOMER0198@DEMO-ML.EXAMPLE , open , high ,4.2,2026-02-08,email,platform,20.0,7.5,2
T00199-1,customer0199@demo-ml.example, open , medium ,3.8,2026-02-09,email,billing,14.0,6.5,2
T00201-1,customer0201@demo-ml.example, resolved , critical ,2.8,2026-02-13,phone,platform,15.0,7.0,1
T00201-2, CUSTOMER0201@DEMO-ML.EXAMPLE , closed , medium ,3.9,2026-02-14,web,security,21.5,8.25,2
T00202-1,customer0202@demo-ml.example, closed , low ,3.5,2026-02-15,web,success,15.5,7.25,2
T00203-1,customer0203@demo-ml.example, open , medium ,4.2,2026-02-17,email,billing,16.0,7.5,0
T00203-3,customer0203@demo-ml.example, resolved , medium ,4.0,2026-02-19,phone,platform,29.0,1.0,2
T00204-1,customer0204@demo-ml.example, pending ,,4.9,2026-02-19,chat,security,16.5,7.75,1
T00204-2, CUSTOMER0204@DEMO-ML.EXAMPLE , resolved , low ,3.6,2026-02-20,phone,billing,23.0,9.0,2
T00206-1,customer0206@demo-ml.example, closed , low ,3.9,2026-02-23,web,success,17.5,8.25,0
T00207-1,customer0207@demo-ml.example, open , medium ,4.6,2026-02-25,email,billing,18.0,8.5,1
